File Path	chrom://pc-99hx762/ChromeleonLocal/Instrument Data/PC-99HX762_1/Sequenzen/CarboPac-PA1/20170526_MME_Angel.seq/850.smp/ED_1.channel/ED_1.chm
Channel	ED_1

Injection Information:
Data Vault	ChromeleonLocal
Injection	20170526_MME_AA_STD-Mix2
Injection Number	5
Position	5
Comment	
Processing Method	
Instrument Method	0-400 mM NaAc 40 min_OHNE_PORT_B 1HZ
Type	Unknown
Status	Finished
Injection Date	26.05.2017
Injection Time	16:52:02
Injection Volume (µl)	25,0
Dilution Factor	1,0000
Weight	1,0000

Chromatogram Data Information:
Time Min. (min)	0,000000
Time Max. (min)	54,000000
Data Points	3241
Detector	EDet1
Generating Data System	Chromeleon 7.2.3.7553
Exporting Data System	Chromeleon 7.2.3.0
Operator	Instrument Controller
Signal Quantity	
Signal Unit	nC
Signal Min.	-0,774900
Signal Max.	210,061603
Channel	ED_1
Driver Name	DC-3000
Channel Type	Evaluation
Min. Step (s)	1
Max. Step (s)	1
Average Step (s)	1

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (nC)
8,533333	1	7,826050
8,550000	1	7,712800
8,566667	1	7,632300
8,583333	1	7,578050
8,600000	1	7,462200
8,616667	1	7,373300
8,633333	1	7,287850
8,650000	1	7,212350
8,666667	1	7,146900
8,683333	1	7,070700
8,700000	1	7,013350
8,716667	1	6,957750
8,733333	1	6,886450
8,750000	1	6,828200
8,766667	1	6,749950
8,783333	1	6,715800
8,800000	1	6,668800
8,816667	1	6,634700
8,833333	1	6,604700
8,850000	1	6,571950
8,866667	1	6,548900
8,883333	1	6,502850
8,900000	1	6,483900
8,916667	1	6,443850
8,933333	1	6,379400
8,950000	1	6,334550
8,966667	1	6,277900
8,983333	1	6,221700
9,000000	1	6,187550
9,016667	1	6,157650
9,033333	1	6,155350
9,050000	1	6,139700
9,066667	1	6,141400
9,083333	1	6,154200
9,100000	1	6,163300
9,116667	1	6,196650
9,133333	1	6,211950
9,150000	1	6,225200
9,166667	1	6,226400
9,183333	1	6,235350
9,200000	1	6,249400
9,216667	1	6,244800
9,233333	1	6,277600
9,250000	1	6,257850
9,266667	1	6,268150
9,283333	1	6,296100
9,300000	1	6,287750
9,316667	1	6,300700
9,333333	1	6,326950
9,350000	1	6,362750
9,366667	1	6,380300
9,383333	1	6,406650
9,400000	1	6,412650
9,416667	1	6,419650
9,433333	1	6,421200
9,450000	1	6,413600
9,466667	1	6,411200
9,483333	1	6,409850
9,500000	1	6,424450
9,516667	1	6,428950
9,533333	1	6,413750
9,550000	1	6,412400
9,566667	1	6,402800
9,583333	1	6,381500
9,600000	1	6,335400
9,616667	1	6,289300
9,633333	1	6,243850
9,650000	1	6,201850
9,666667	1	6,147300
9,683333	1	6,086550
9,700000	1	6,045550
9,716667	1	6,000100
9,733333	1	5,963450
9,750000	1	5,934900
9,766667	1	5,891850
9,783333	1	5,859150
9,800000	1	5,849800
9,816667	1	5,835700
9,833333	1	5,826600
9,850000	1	5,830250
9,866667	1	5,833800
9,883333	1	5,836100
9,900000	1	5,822100
9,916667	1	5,792200
9,933333	1	5,769600
9,950000	1	5,756900
9,966667	1	5,733450
9,983333	1	5,723450
10,000000	1	5,703250
10,016667	1	5,688500
10,033333	1	5,687550
10,050000	1	5,670800
10,066667	1	5,661050
10,083333	1	5,668850
10,100000	1	5,667450
10,116667	1	5,657150
10,133333	1	5,642400
10,150000	1	5,633700
10,166667	1	5,627300
10,183333	1	5,632850
10,200000	1	5,621750
10,216667	1	5,608600
10,233333	1	5,596950
10,250000	1	5,607200
10,266667	1	5,630000
10,283333	1	5,631250
10,300000	1	5,637400
10,316667	1	5,653250
10,333333	1	5,670150
10,350000	1	5,684450
10,366667	1	5,692400
10,383333	1	5,697900
10,400000	1	5,704100
10,416667	1	5,723350
10,433333	1	5,725950
10,450000	1	5,733550
10,466667	1	5,734900
10,483333	1	5,746950
10,500000	1	5,732950
10,516667	1	5,723500
10,533333	1	5,725450
10,550000	1	5,697100
10,566667	1	5,708200
10,583333	1	5,705100
10,600000	1	5,678850
10,616667	1	5,675300
10,633333	1	5,665600
10,650000	1	5,674800
10,666667	1	5,655700
10,683333	1	5,643900
10,700000	1	5,643900
10,716667	1	5,654300
10,733333	1	5,660500
