File Path	chrom://pc-99hx762/ChromeleonLocal/Instrument Data/PC-99HX762_1/Sequenzen/CarboPac-PA1/20170526_MME_Angel.seq/850.smp/ED_1.channel/ED_1.chm
Channel	ED_1

Injection Information:
Data Vault	ChromeleonLocal
Injection	20170526_MME_AA_STD-Mix2
Injection Number	5
Position	5
Comment	
Processing Method	
Instrument Method	0-400 mM NaAc 40 min_OHNE_PORT_B 1HZ
Type	Unknown
Status	Finished
Injection Date	26.05.2017
Injection Time	16:52:02
Injection Volume (µl)	25,0
Dilution Factor	1,0000
Weight	1,0000

Chromatogram Data Information:
Time Min. (min)	0,000000
Time Max. (min)	54,000000
Data Points	3241
Detector	EDet1
Generating Data System	Chromeleon 7.2.3.7553
Exporting Data System	Chromeleon 7.2.3.0
Operator	Instrument Controller
Signal Quantity	
Signal Unit	nC
Signal Min.	-0,774900
Signal Max.	210,061603
Channel	ED_1
Driver Name	DC-3000
Channel Type	Evaluation
Min. Step (s)	1
Max. Step (s)	1
Average Step (s)	1

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (nC)
52,216667	1	0,554700
52,233333	1	0,554350
52,250000	1	0,547650
52,266667	1	0,543900
52,283333	1	0,544350
52,300000	1	0,545550
52,316667	1	0,538050
52,333333	1	0,553400
52,350000	1	0,558150
52,366667	1	0,546200
52,383333	1	0,562300
52,400000	1	0,563150
52,416667	1	0,561150
52,433333	1	0,554400
52,450000	1	0,551700
52,466667	1	0,563700
52,483333	1	0,548350
52,500000	1	0,563400
52,516667	1	0,559000
52,533333	1	0,568550
52,550000	1	0,577300
52,566667	1	0,579250
52,583333	1	0,572350
52,600000	1	0,571400
52,616667	1	0,565700
52,633333	1	0,573450
52,650000	1	0,568950
52,666667	1	0,558750
52,683333	1	0,576600
52,700000	1	0,568250
52,716667	1	0,572700
52,733333	1	0,575300
52,750000	1	0,577650
52,766667	1	0,587750
52,783333	1	0,578400
52,800000	1	0,585450
52,816667	1	0,579600
52,833333	1	0,583650
52,850000	1	0,578100
52,866667	1	0,584500
52,883333	1	0,581400
52,900000	1	0,589100
52,916667	1	0,591750
52,933333	1	0,590500
52,950000	1	0,591850
52,966667	1	0,587700
52,983333	1	0,595650
53,000000	1	0,590450
53,016667	1	0,591250
53,033333	1	0,597050
53,050000	1	0,597900
53,066667	1	0,586650
53,083333	1	0,595100
53,100000	1	0,577400
53,116667	1	0,601850
53,133333	1	0,587200
53,150000	1	0,598800
53,166667	1	0,582400
53,183333	1	0,590400
53,200000	1	0,599050
53,216667	1	0,604600
53,233333	1	0,604000
53,250000	1	0,598250
53,266667	1	0,590600
53,283333	1	0,607850
53,300000	1	0,607750
53,316667	1	0,604650
53,333333	1	0,600900
53,350000	1	0,605850
53,366667	1	0,620650
53,383333	1	0,611650
53,400000	1	0,615350
53,416667	1	0,606300
53,433333	1	0,608050
53,450000	1	0,614850
53,466667	1	0,616900
53,483333	1	0,612450
53,500000	1	0,602150
53,516667	1	0,616850
53,533333	1	0,610050
53,550000	1	0,601900
53,566667	1	0,610700
53,583333	1	0,618800
53,600000	1	0,625250
53,616667	1	0,623000
53,633333	1	0,615000
53,650000	1	0,627850
53,666667	1	0,636800
53,683333	1	0,628750
53,700000	1	0,624300
53,716667	1	0,619400
53,733333	1	0,622200
53,750000	1	0,627850
53,766667	1	0,621900
53,783333	1	0,625350
53,800000	1	0,625100
53,816667	1	0,632200
53,833333	1	0,632450
53,850000	1	0,617200
53,866667	1	0,623800
53,883333	1	0,635400
53,900000	1	0,635300
53,916667	1	0,634750
53,933333	1	0,627450
53,950000	1	0,625300
53,966667	1	0,630600
53,983333	1	0,630750
54,000000	1	0,628150
